GEOID,NAME,DP04_0003PE,DP04_0003PM
"12001","Alachua County, Florida",13.6,1.3
"12003","Baker County, Florida",11.7,3.2
"12005","Bay County, Florida",31.8,1.4
"12007","Bradford County, Florida",17.7,4.3
"12009","Brevard County, Florida",18.3,0.8
"12011","Broward County, Florida",18.3,0.5
"12015","Charlotte County, Florida",28.3,1.5
"12017","Citrus County, Florida",24,1.7
"12019","Clay County, Florida",9.4,1.3
"12021","Collier County, Florida",40.4,1.1
"12023","Columbia County, Florida",14.8,2.5
"12027","DeSoto County, Florida",28.6,4.6
"12031","Duval County, Florida",15.7,0.7
"12033","Escambia County, Florida",18.2,1.1
"12035","Flagler County, Florida",26.4,2.2
"12039","Gadsden County, Florida",15.4,2.9
"12049","Hardee County, Florida",26,4.2
"12051","Hendry County, Florida",23.9,4.9
"12053","Hernando County, Florida",16.1,1.5
"12055","Highlands County, Florida",28.9,1.9
"12057","Hillsborough County, Florida",13.7,0.6
"12061","Indian River County, Florida",24.4,1.8
"12063","Jackson County, Florida",21,3
"12069","Lake County, Florida",18,1.3
"12071","Lee County, Florida",35.5,0.7
"12073","Leon County, Florida",11.7,1.1
"12075","Levy County, Florida",20.2,2.4
"12081","Manatee County, Florida",24.5,1.1
"12083","Marion County, Florida",17.4,1.1
"12085","Martin County, Florida",25.2,1.6
"12086","Miami-Dade County, Florida",17.1,0.4
"12087","Monroe County, Florida",45.5,2.1
"12089","Nassau County, Florida",21,2.4
"12091","Okaloosa County, Florida",23.3,1.4
"12093","Okeechobee County, Florida",25.7,4.2
"12095","Orange County, Florida",16.7,0.6
"12097","Osceola County, Florida",27.3,1.3
"12099","Palm Beach County, Florida",21.4,0.5
"12101","Pasco County, Florida",21,0.9
"12103","Pinellas County, Florida",20.5,0.5
"12105","Polk County, Florida",21,0.8
"12107","Putnam County, Florida",22.7,2.3
"12109","St. Johns County, Florida",19.1,1.5
"12111","St. Lucie County, Florida",25.1,1.3
"12113","Santa Rosa County, Florida",13.9,1.5
"12115","Sarasota County, Florida",27.5,1.1
"12117","Seminole County, Florida",17.9,0.9
"12119","Sumter County, Florida",21.8,2
"12121","Suwannee County, Florida",15.7,3.2
"12123","Taylor County, Florida",31.3,3.9
"12127","Volusia County, Florida",22.2,0.8
"12129","Wakulla County, Florida",16.2,3.6
"12131","Walton County, Florida",49.8,2
"12133","Washington County, Florida",18.7,4
