GEOID,NAME,DP05_0068PE,DP05_0068PM
"12001","Alachua County, Florida",2.3,0.4
"12003","Baker County, Florida",,
"12005","Bay County, Florida",1.3,0.4
"12007","Bradford County, Florida",,
"12009","Brevard County, Florida",3.2,0.3
"12011","Broward County, Florida",4.4,0.2
"12015","Charlotte County, Florida",2,0.4
"12017","Citrus County, Florida",1.6,0.4
"12019","Clay County, Florida",2.4,0.5
"12021","Collier County, Florida",2,0.5
"12023","Columbia County, Florida",1.8,0.7
"12027","DeSoto County, Florida",0.8,0.3
"12031","Duval County, Florida",2.3,0.3
"12033","Escambia County, Florida",1.1,0.2
"12035","Flagler County, Florida",3.9,0.8
"12039","Gadsden County, Florida",2,1.3
"12049","Hardee County, Florida",,
"12051","Hendry County, Florida",3.3,1.3
"12053","Hernando County, Florida",5.3,0.6
"12055","Highlands County, Florida",5.9,1.1
"12057","Hillsborough County, Florida",7.5,0.4
"12061","Indian River County, Florida",1.1,0.4
"12063","Jackson County, Florida",1.2,0.4
"12069","Lake County, Florida",4.7,0.5
"12071","Lee County, Florida",3.8,0.4
"12073","Leon County, Florida",0.7,0.2
"12075","Levy County, Florida",2.5,1.4
"12081","Manatee County, Florida",1.7,0.4
"12083","Marion County, Florida",3.9,0.5
"12085","Martin County, Florida",1.5,0.5
"12086","Miami-Dade County, Florida",4.1,0.2
"12087","Monroe County, Florida",1,0.4
"12089","Nassau County, Florida",1.2,0.7
"12091","Okaloosa County, Florida",1.5,0.4
"12093","Okeechobee County, Florida",1.9,1.4
"12095","Orange County, Florida",13,0.5
"12097","Osceola County, Florida",25.4,1.3
"12099","Palm Beach County, Florida",2.8,0.2
"12101","Pasco County, Florida",4.3,0.4
"12103","Pinellas County, Florida",2.4,0.3
"12105","Polk County, Florida",5.6,0.5
"12107","Putnam County, Florida",2.2,0.6
"12109","St. Johns County, Florida",1.6,0.4
"12111","St. Lucie County, Florida",4.4,0.6
"12113","Santa Rosa County, Florida",0.6,0.2
"12115","Sarasota County, Florida",1.3,0.3
"12117","Seminole County, Florida",7.5,0.6
"12119","Sumter County, Florida",1.2,0.3
"12121","Suwannee County, Florida",,
"12123","Taylor County, Florida",,
"12127","Volusia County, Florida",5.2,0.4
"12129","Wakulla County, Florida",0.7,0.5
"12131","Walton County, Florida",0.8,0.5
"12133","Washington County, Florida",,
